,fix,anomaly,contexts
151,Stapleton,Stapleton’s,"[Age                                        1910
Error                                        45
Material                                   bone
Taxa                                        NaN
d13C                                        NaN
Method                                      NaN
Long                                     0.2071
Lat                                     51.9917
LocAccuracy                                   2
Period                                      NaN
SiteID                                      NaN
SiteName       Norton Henge (Stapleton’s Field)
Country                          United Kingdom
Province                                    NaN
Continent                                Europe
Source                                Bevan2017
Reference                      Linseele V. 2007
Region                                  Unknown
Name: IHME-2089, dtype: object]"
152,Staňkovnou,Sta√ÖÀÜkovnou,"[Age                                                6080
Error                                                60
Material                                          grain
Taxa                                                NaN
d13C                                                  0
Method                                              NaN
Long                                                NaN
Lat                                                 NaN
LocAccuracy                                           0
Period                                              NaN
SiteID                                              NaN
SiteName       Koso√Ö‚Ñ¢ Nad Sta√ÖÀÜkovnou pieskov√ÖÀÜa
Country                                        Slovakia
Province                                            NaN
Continent                                        Europe
Source                                           CALPAL
Reference                                    Lička 1999
Region                                          Unknown
Name: BLN-3759, dtype: object]"
153,Słonowice,S√Ö‚Äöonowice,"[Age                     3350
Error                     65
Material                 NaN
Taxa                     NaN
d13C                     NaN
Method                   NaN
Long                 20.4507
Lat                   50.269
LocAccuracy                2
Period                   NaN
SiteID                   NaN
SiteName       S√Ö‚Äöonowice
Country               Poland
Province                 NaN
Continent             Europe
Source              EUROEVOL
Reference                NaN
Region               Unknown
Name: ROME-863, dtype: object]"
154,Stephens,Stephen’s,"[Age                                              1441
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       St Stephen’s Lane Buttermarket Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4039, dtype: object, Age                                              1396
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4040, dtype: object, Age                                              1301
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4041, dtype: object, Age                                              1407
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       St Stephen’s Lane Buttermarket Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4042, dtype: object, Age                                              1320
Error                                              22
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4043, dtype: object, Age                                              1413
Error                                              21
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       St Stephen’s Lane Buttermarket Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4044, dtype: object, Age                                              1398
Error                                             210
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4045, dtype: object, Age                                              1404
Error                                              21
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4046, dtype: object, Age                                              1349
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4047, dtype: object, Age                                              1377
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4048, dtype: object, Age                                              1337
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4049, dtype: object, Age                                              1463
Error                                              19
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4070, dtype: object, Age                                              1419
Error                                              23
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       St Stephen’s Lane Buttermarket Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4074, dtype: object, Age                                              1436
Error                                              23
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4075, dtype: object, Age                                              1356
Error                                              23
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4076, dtype: object, Age                                              1476
Error                                              24
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4077, dtype: object, Age                                              1452
Error                                              20
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4208, dtype: object, Age                                              1384
Error                                              21
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4209, dtype: object, Age                                              1360
Error                                              22
Material                                         bone
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                           1.1529
Lat                                           52.0571
LocAccuracy                                         2
Period                                            NaN
SiteID                                            NaN
SiteName       Buttermarket/St Stephen’s Lane Ipswich
Country                                United Kingdom
Province                                          NaN
Continent                                      Europe
Source                                      Bevan2017
Reference                                         NaN
Region                                        Unknown
Name: UB-4210, dtype: object]"
155,Sundfjæra,Sundfj√¶ra,"[Age                                                         4505
Error                                                         89
Material                                                Charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                      23.582
Lat                                                       70.685
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                      Sundfj√¶ra midtre_Melkøya_Mesofelt
Country                                                   Norway
Province                                                     NaN
Continent                                                 Europe
Source                                            Jorgensen_2020
Reference      Jørgensen E. K. 2017. The Palaeodemographic an...
Region                                                   Unknown
Name: WK-10734, dtype: object]"
156,Sławsko,S√Ö‚Äöawsko,"[Age                            4790
Error                            80
Material                 human bone
Taxa                            NaN
d13C                            NaN
Method                          NaN
Long                        18.2007
Lat                         52.6565
LocAccuracy                       2
Period                          NaN
SiteID                          NaN
SiteName       S√Ö‚Äöawsko Dolne 34
Country                      Poland
Province                        NaN
Continent                    Europe
Source                     EUROEVOL
Reference                       NaN
Region                      Unknown
Name: KI-5071, dtype: object]"
157,Tomašanci,Toma≈°anci,"[Age                               5210
Error                               40
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                             18.41
Lat                              45.38
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName         Toma≈°anci ‚Äì Palaàa
Country                        Croatia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference                   Balen 2008
Region                         Unknown
Name: BETA-245707, dtype: object]"
158,Strømsødegården,Str√∏ms√∏degården,"[Age                          386
Error                         49
Material                Charcoal
Taxa                         NaN
d13C                         NaN
Method                       NaN
Long                       10.54
Lat                        61.32
LocAccuracy                    2
Period                       NaN
SiteID                       NaN
SiteName       Str√∏ms√∏degården
Country                   Norway
Province                     NaN
Continent                 Europe
Source            Solheim_Norway
Reference                    NaN
Region                   Unknown
Name: T-13787, dtype: object]"
159,Sæveli,S√¶veli,"[Age                      1605
Error                     100
Material             Charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  8.61667
Lat                   58.3667
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       S√¶veli søndre
Country                Norway
Province                  NaN
Continent              Europe
Source         Solheim_Norway
Reference                 NaN
Region                Unknown
Name: T-14217, dtype: object, Age                      2617
Error                     116
Material             Charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  8.61667
Lat                   58.3667
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       S√¶veli søndre
Country                Norway
Province                  NaN
Continent              Europe
Source         Solheim_Norway
Reference                 NaN
Region                Unknown
Name: T-14221, dtype: object]"
160,Scò,S√ò,"[Age                                                         4640
Error                                                        100
Material                                                   Shell
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     29.8753
Lat                                                      69.7298
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                             Høybukt S√ò
Country                                                   Norway
Province                                                     NaN
Continent                                                 Europe
Source                                            Jorgensen_2020
Reference      Jørgensen E. K. 2017. The Palaeodemographic an...
Region                                                   Unknown
Name: T-2166, dtype: object]"
161,Sørvikvågen,Sørvikv√•gen,"[Age                                                         1530
Error                                                         30
Material                                                Charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     16.5403
Lat                                                      68.6862
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                            Sørvikv√•gen
Country                                                   Norway
Province                                                     NaN
Continent                                                 Europe
Source                                            Jorgensen_2020
Reference      Jørgensen E. K. 2017. The Palaeodemographic an...
Region                                                   Unknown
Name: BETA-421996, dtype: object, Age                      1730
Error                      30
Material             Charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  16.5403
Lat                   68.6862
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName         Sørvikv√•gen
Country                Norway
Province                  NaN
Continent              Europe
Source         Jorgensen_2020
Reference                 NaN
Region                Unknown
Name: BETA-421997, dtype: object, Age                                                         1610
Error                                                         30
Material                                                Charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     16.5403
Lat                                                      68.6862
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                            Sørvikv√•gen
Country                                                   Norway
Province                                                     NaN
Continent                                                 Europe
Source                                            Jorgensen_2020
Reference      Jørgensen E. K. 2017. The Palaeodemographic an...
Region                                                   Unknown
Name: BETA-422000, dtype: object, Age                                                         1610
Error                                                         30
Material                                                Charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     16.5403
Lat                                                      68.6862
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                            Sørvikv√•gen
Country                                                   Norway
Province                                                     NaN
Continent                                                 Europe
Source                                            Jorgensen_2020
Reference      Jørgensen E. K. 2017. The Palaeodemographic an...
Region                                                   Unknown
Name: BETA-422002, dtype: object]"
162,Torquetâ,Torquet”,"[Age                                  5765
Error                                  50
Material                         charcoal
Taxa                                  NaN
d13C                                  NaN
Method                                NaN
Long                               -1.169
Lat                                49.142
LocAccuracy                             2
Period                                NaN
SiteID                                NaN
SiteName       Hébécrevon “Hotel Torquet”
Country                            France
Province                              NaN
Continent                          Europe
Source                           EUROEVOL
Reference                             NaN
Region                            Unknown
Name: LY-8831, dtype: object]"
163,NEEDS_EXPERT,Tou√Ö¬°e√ÖÀÜ,"[Age                    3740
Error                    35
Material         human bone
Taxa                    NaN
d13C                    NaN
Method                  NaN
Long                14.7158
Lat                 50.1695
LocAccuracy               2
Period                  NaN
SiteID                  NaN
SiteName       Tou√Ö¬°e√ÖÀÜ
Country             Czechia
Province                NaN
Continent            Europe
Source             EUROEVOL
Reference               NaN
Region              Unknown
Name: KI-4459, dtype: object]"
164,Turnišče,Turni≈°àe,"[Age                               5015
Error                               25
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                           16.3084
Lat                            46.6149
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName              Turni≈°àe-Brezje
Country                       Slovenia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference                          NaN
Region                         Unknown
Name: KIA-31889, dtype: object]"
165,Tušimice,Tu√Ö¬°imice,"[Age                        4768
Error                       100
Material               charcoal
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    13.3667
Lat                     50.3833
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName            Tu√Ö¬°imice
Country                 Czechia
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Breunig 1987 195
Region                  Unknown
Name: BLN-239, dtype: object]"
166,TÅgarp,TÃ¥garp,"[Age                            2800
Error                            80
Material                      resin
Taxa                            NaN
d13C                            NaN
Method                          NaN
Long                        12.9504
Lat                         55.9334
LocAccuracy                       2
Period                          NaN
SiteID                          NaN
SiteName                    TÃ¥garp
Country                      Sweden
Province                        NaN
Continent                    Europe
Source                      RADON-B
Reference      Radiocarbon 1962 129
Region                      Unknown
Name: ST-514, dtype: object]"
167,NEEDS_EXPERT,TÅ·,"[Age                       280
Error                      30
Material                 wood
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  -3.2959
Lat                   52.8417
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName             TÅ·-draw
Country        United Kingdom
Province                  NaN
Continent              Europe
Source              Bevan2017
Reference                 NaN
Region                Unknown
Name: SUERC-24511, dtype: object]"
168,Vepřek,Vep√Ö‚Ñ¢ek,"[Age                  3540
Error                  40
Material       human bone
Taxa                  NaN
d13C                  NaN
Method                NaN
Long              14.3236
Lat               50.3107
LocAccuracy             2
Period                NaN
SiteID                NaN
SiteName       Vep√Ö‚Ñ¢ek
Country           Czechia
Province              NaN
Continent          Europe
Source           EUROEVOL
Reference             NaN
Region            Unknown
Name: KI-4462, dtype: object, Age                  3570
Error                  60
Material       human bone
Taxa                  NaN
d13C                  NaN
Method                NaN
Long              14.3236
Lat               50.3107
LocAccuracy             2
Period                NaN
SiteID                NaN
SiteName       Vep√Ö‚Ñ¢ek
Country           Czechia
Province              NaN
Continent          Europe
Source           EUROEVOL
Reference             NaN
Region            Unknown
Name: KI-4463, dtype: object]"
169,NEEDS_EXPERT,Vespasian’s,"[Age                                   8542
Error                                   27
Material                             tooth
Taxa                                   NaN
d13C                                   NaN
Method                                 NaN
Long                               -1.7925
Lat                                51.1744
LocAccuracy                              2
Period                                 NaN
SiteID                                 NaN
SiteName       Blick Mead Vespasian’s Camp
Country                     United Kingdom
Province                               NaN
Continent                           Europe
Source                           Bevan2017
Reference                              NaN
Region                             Unknown
Name: SUERC-42525, dtype: object]"
170,VÅgstad,VÃ¥gstad,"[Age                      2036
Error                      83
Material             Charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                    11.25
Lat                   60.1167
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName             VÃ¥gstad
Country                Norway
Province                  NaN
Continent              Europe
Source         Solheim_Norway
Reference                 NaN
Region                Unknown
Name: T-10456, dtype: object]"
171,WieldzÄ,WieldzÄ…dz,"[Age                       4750
Error                       70
Material              charcoal
Taxa                       NaN
d13C                       NaN
Method                     NaN
Long                   18.8167
Lat                    53.3167
LocAccuracy                  2
Period                     NaN
SiteID                     NaN
SiteName         WieldzÄ…dz 31
Country                 Poland
Province                   NaN
Continent               Europe
Source         EUROEVOL; RADON
Reference                  NaN
Region                 Unknown
Name: GD-1970, dtype: object]"
172,Targu,T√¢rgu,"[Age                                                      5830
Error                                                     100
Material                                                 Bone
Taxa                                                      NaN
d13C                                                      NaN
Method                                                    NaN
Long                                                      NaN
Lat                                                       NaN
LocAccuracy                                                 0
Period                                                    NaN
SiteID                                                    NaN
SiteName                                        T√¢rgu Frumos
Country                                               Romania
Province                                                  NaN
Continent                                              Europe
Source                                          14SEA; CALPAL
Reference      Mantu 1998: 246 Table 1 Bem 2000–2001: Table 1
Region                                                Unknown
Name: LV-2152, dtype: object]"
173,Veluška,Velu√Ö¬°ka,"[Age                        6950
Error                       120
Material                   wood
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    21.3667
Lat                        40.9
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName             Velu√Ö¬°ka
Country         North Macedonia
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Breunig 1987 102
Region                  Unknown
Name: TX-1785, dtype: object, Age                        6890
Error                       140
Material                  grain
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    21.3667
Lat                        40.9
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName             Velu√Ö¬°ka
Country         North Macedonia
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Breunig 1987 102
Region                  Unknown
Name: TX-1786, dtype: object, Age                               6760
Error                              110
Material                         grain
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                           21.3667
Lat                               40.9
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName                    Velu√Ö¬°ka
Country                North Macedonia
Province                           NaN
Continent                       Europe
Source                           RADON
Reference      Senabre/Socias 1993 102
Region                         Unknown
Name: TX-1787, dtype: object, Age                        6900
Error                        90
Material               charcoal
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    21.3667
Lat                        40.9
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName             Velu√Ö¬°ka
Country         North Macedonia
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Breunig 1987 102
Region                  Unknown
Name: TX-1809, dtype: object]"
174,NEEDS_EXPERT,WieÅ›,"[Age                                                2310
Error                                                90
Material                                        ceramic
Taxa                                                NaN
d13C                                                NaN
Method                                              NaN
Long                                            19.6522
Lat                                              52.087
LocAccuracy                                           2
Period                                              NaN
SiteID                                              NaN
SiteName                                Bielawska WieÅ›
Country                                          Poland
Province                                            NaN
Continent                                        Europe
Source                                          RADON-B
Reference      Ignaczak 2008 156-159 Abb. 13-15. Tab. 1
Region                                          Unknown
Name: LOD-14700, dtype: object]"
175,TÅngen,TÃ¥ngen,"[Age                    4760
Error                   120
Material           charcoal
Taxa                    NaN
d13C                    NaN
Method                  NaN
Long                11.9348
Lat                  57.763
LocAccuracy               2
Period                  NaN
SiteID                  NaN
SiteName       Tuve TÃ¥ngen
Country              Sweden
Province                NaN
Continent            Europe
Source                RADON
Reference               NaN
Region              Unknown
Name: ST-2404, dtype: object]"
176,Williamson's,Williamson’s,"[Age                                          6015
Error                                          75
Material                                 charcoal
Taxa                                          NaN
d13C                                          NaN
Method                                        NaN
Long                                      -3.4066
Lat                                       54.3125
LocAccuracy                                     2
Period                                        NaN
SiteID                                        NaN
SiteName               Williamson’s Moss Eskmeals
Country                            United Kingdom
Province                                      NaN
Continent                                  Europe
Source         Bevan2017; CALPAL; EUROEVOL; RADON
Reference                   CBA Radiocarbon Index
Region                                    Unknown
Name: UB-2544, dtype: object, Age                                          5555
Error                                          40
Material                                     wood
Taxa                                          NaN
d13C                                          NaN
Method                                        NaN
Long                                      -3.4066
Lat                                       54.3125
LocAccuracy                                     2
Period                                        NaN
SiteID                                        NaN
SiteName               Williamson’s Moss Eskmeals
Country                            United Kingdom
Province                                      NaN
Continent                                  Europe
Source         Bevan2017; CALPAL; EUROEVOL; RADON
Reference                   CBA Radiocarbon Index
Region                                    Unknown
Name: UB-2545, dtype: object, Age                                          5650
Error                                          50
Material                              wood (bark)
Taxa                                          NaN
d13C                                          NaN
Method                                        NaN
Long                                      -3.4066
Lat                                       54.3125
LocAccuracy                                     2
Period                                        NaN
SiteID                                        NaN
SiteName               Williamson’s Moss Eskmeals
Country                            United Kingdom
Province                                      NaN
Continent                                  Europe
Source         Bevan2017; CALPAL; EUROEVOL; RADON
Reference                   CBA Radiocarbon Index
Region                                    Unknown
Name: UB-2546, dtype: object, Age                                          5520
Error                                          85
Material                              wood (bark)
Taxa                                          NaN
d13C                                          NaN
Method                                        NaN
Long                                      -3.4066
Lat                                       54.3125
LocAccuracy                                     2
Period                                        NaN
SiteID                                        NaN
SiteName               Williamson’s Moss Eskmeals
Country                            United Kingdom
Province                                      NaN
Continent                                  Europe
Source         Bevan2017; CALPAL; EUROEVOL; RADON
Reference                   CBA Radiocarbon Index
Region                                    Unknown
Name: UB-2712, dtype: object, Age                                          5480
Error                                          90
Material                              wood (bark)
Taxa                                          NaN
d13C                                          NaN
Method                                        NaN
Long                                      -3.4066
Lat                                       54.3125
LocAccuracy                                     2
Period                                        NaN
SiteID                                        NaN
SiteName               Williamson’s Moss Eskmeals
Country                            United Kingdom
Province                                      NaN
Continent                                  Europe
Source         Bevan2017; CALPAL; EUROEVOL; RADON
Reference                   CBA Radiocarbon Index
Region                                    Unknown
Name: UB-2713, dtype: object]"
